alphanumeric sort	按字母数字顺序排列
log off	注销
sensitive data	敏感数据
child business unit	下级业务部门
record number	记录编号
quiet mode	安静模式
linked virtual hard disk	链接的虚拟硬盘
Telephone User Interface	电话用户界面
TUI	TUI
touchtone interface	按键界面
service order line	服务订单行
asymmetrical transmission	非对称传输
managed folder mailbox policy	托管文件夹邮箱策略
padding	填充
resource	资源
dynamic data field	动态数据字段
WWW Service Administration and Monitoring component	WWW 服务管理和监视组件
Schedule Important Software Updates	安排重要软件更新工具
HTTP module	HTTP 模块
data source	数据源
push	推传递
broadband	宽带
broadband network	宽带网络
Outlook Web Access Web Part	Outlook Web Access Web 部件
diacritic	音调符号
differentiating factor	区别性因素
Business Data Connectivity service	Business Data Connectivity service
Business Data Connectivity Shared Service	业务数据连接共享服务
COM	COM
Component Object Model	组件对象模型
Create Task Wizard	创建任务向导
country/region-specific	国家/地区特定的
application media pool	应用程序媒体池
via	孔
bandwidth throttling	带宽限制
network bandwidth throttling	网络带宽限制
ARP cache	ARP 缓存
A/V Conferencing Edge Server	A/V 会议边缘服务器
A/V Conferencing Edge service	A/V 会议边缘服务
Loose XAML	宽松 XAML
powered by	powered by
drop-down menu	下拉菜单
cardholder	持卡人
data transfer	数据传输
transfer	传输
DPM service	DPM 服务
divergence	扩散
Edit Field Value Lists	编辑字段值列表
licensing key	授权密钥
LOB entity	LOB 实体
line-of-business entity	业务线实体
prefix pattern	前缀模式
proxy server	代理服务器
tip	使用技巧
raw socket	原始套接字
fill factor	填充因子
sub-contact	下级联系人
predefined key	预定义项
interleave	交错
personalization	个性化
flow control	流控制
Heart Button	红心按钮
copyright	版权所有
qualitative assessment	定性评估
homepage	主页
home page	主页
welcome page	欢迎页
bus network	总线网络
foreign address	外部地址
DirectInput	DirectInput
animated GIF	动态 GIF
Simple Object Access Protocol	简单对象访问协议
SOAP	SOAP
Data Link Control	数据链路控制
DLC	DLC
COM callable wrapper	COM 可调用包装器
CCW	CCW
plus pointer	加号指针
diffuse material	漫射材料
search page	搜索页
mail user	邮件用户
Site Collection Images	网站集图像
unit conversion factor	单位换算系数
resolver	解析程序
Accelerated Cost Recovery System	加速折旧法
recursive query	递归查询
Windows Sidebar	Windows 边栏
NTSC DV-AVI	NTSC DV-AVI
DV-AVI (NTSC)	DV-AVI (NTSC)
declaration	声明
MOM agent	MOM 代理
Microsoft Operations Manager agent	Microsoft Operations Manager 代理
journal	日志
Software Licensing Commerce Client	软件授权商务客户端
SLCC	SLCC
cell	单元
postmaster	postmaster
ICM	ICM
Image Color Matching	图像颜色匹配
Transport Layer Security	传输层安全性
TLS	TLS
typeface	字样
development workstation	开发工作站
relationship	关系
"Electronic Data Interchange for Administration, Commerce, and Trade"	针对管理，商业，贸易的电子数据交换
EDIFACT	EDIFACT
MORG	MORG
medium organization	中型组织
peer-caching	对等缓存
virtual machine name	虚拟机名称
failure	失败
e-mail quick key	快速键
static adapter	静态适配器
Allotments Remaining	剩余服务配额
DNS client	DNS 客户端
bill of lading	提单
virtual key code	虚拟键代码
Bulk Duplicate Detection	批量重复检测
base table	基表
PAGE DOWN key	Page Down 键
Phase Alternating Line	逐行倒相制式 (PAL制)
PAL	PAL 制
command interpreter	命令解释器
Phishing Filter	钓鱼网站筛选器
sampling	采样
decision tree	决策树
server locator point	服务器定位器点
static property	静态属性
value substitution	值替换
rootkit	Rootkit
Windows Mail	Windows Mail
server administrator	服务器管理员
pointer	指针
mouse pointer	鼠标指针
Internet Explorer Administration Kit	Internet Explorer 管理工具包
IEAK	IEAK
selection handle	所选项目控点
column graph	柱形图
SOAP adapter	SOAP 适配器
invoice product	发票产品
user locale	用户区域设置
Reestablish Instant Message Conversation…	重建即时消息对话
vector	矢量
connection string	连接字符串
area	区域
scan interval	扫描间隔
contract	协定
clip collection	剪辑收藏集
