16-7-21 下午1:57
项目统计

     	    片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	101133	421051	3605151	3954532	  2065	
剩余：  	 83148	379180	3333065	3660972	  2065	
独特：  	 47359	300630	2532248	2817008	  2064	
剩余独特：	 47010	298063	2515315	2797722	  2064	


单文件统计：

文件名                                                                     	 总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
blog.html                                                               	 504	 503	 446	   445	5658	5657	5390	  5389	   31179	    31174	    29400	      29395	   35626	    35621	    33808	      33803	
changes.htm                                                             	 543	 507	 488	   462	3017	2810	2957	  2789	   23668	    22224	    23046	      21857	   26561	    24975	    25905	      24604	
documentation/2ddrawing/alpha.html                                      	  30	  13	  28	    11	 110	  18	 108	    16	     672	      197	      653	        178	     752	      202	      733	        183	
documentation/2ddrawing/alphablend.html                                 	  28	  14	  15	    10	  90	  35	  67	    31	     581	      252	      418	        214	     644	      272	      471	        234	
documentation/2ddrawing/backcolor.html                                  	  32	  18	  15	     8	  88	  21	  70	    13	     686	      287	      536	        196	     746	      290	      593	        199	
documentation/2ddrawing/blue.html                                       	  31	  15	  10	     5	 103	  21	  63	    11	     657	      225	      396	        133	     730	      231	      450	        139	
documentation/2ddrawing/box.html                                        	  51	  34	  33	    24	 196	 112	 175	   102	    1737	     1242	     1558	       1127	    1904	     1338	     1722	       1223	
documentation/2ddrawing/boxedgradient.html                              	  52	  36	  31	    25	 204	 133	 179	   121	    2084	     1601	     1872	       1467	    2291	     1750	     2073	       1613	
documentation/2ddrawing/circle.html                                     	  52	  33	  21	    15	 194	 103	 115	    74	    1817	     1274	     1154	        916	    1976	     1357	     1265	        988	
documentation/2ddrawing/circulargradient.html                           	  53	  37	  11	     8	 192	 117	  69	    46	    2068	     1541	      719	        549	    2261	     1672	      801	        607	
documentation/2ddrawing/clipoutput.html                                 	  51	  32	  24	    15	 246	 111	 201	    79	    2090	     1299	     1530	        817	    2337	     1426	     1756	        926	
documentation/2ddrawing/conicalgradient.html                            	  54	  36	  13	     8	 213	 104	  91	    34	    2216	     1489	      868	        498	    2434	     1613	      975	        549	
documentation/2ddrawing/customfiltercallback.html                       	  66	  45	  38	    27	 354	 150	 325	   134	    3150	     2001	     2811	       1740	    3474	     2141	     3132	       1880	
documentation/2ddrawing/customgradient.html                             	  73	  56	  33	    28	 349	 236	 257	   209	    3154	     2522	     2356	       2025	    3483	     2751	     2630	       2252	
documentation/2ddrawing/drawalphaimage.html                             	  42	  27	  21	    17	 190	 129	 154	   119	    1247	      864	      950	        738	    1397	      965	     1084	        838	
documentation/2ddrawing/drawimage.html                                  	  37	  22	  12	    10	 162	  90	  88	    63	    1104	      743	      608	        499	    1230	      813	      688	        556	
documentation/2ddrawing/drawingbuffer.html                              	  40	  22	  19	    12	 173	  59	 152	    52	    1367	      727	     1139	        584	    1505	      765	     1274	        622	
documentation/2ddrawing/drawingbufferpitch.html                         	  23	  10	   9	     5	  70	  12	  53	     7	     638	      265	      463	        161	     690	      268	      512	        164	
documentation/2ddrawing/drawingbufferpixelformat.html                   	  42	  16	  26	    11	 169	  28	 143	    23	    1651	      658	     1422	        567	    1799	      672	     1560	        581	
documentation/2ddrawing/drawingfont.html                                	  26	  13	  12	     7	  75	  16	  59	    11	     595	      228	      447	        144	     646	      229	      495	        145	
